DATAFLOW,LAST UPDATE,freq,itm_newa,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,DK,2018,1142.85,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,DK,2019,1378.37,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,DK,2020,1399.92,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,DK,2021,1522.44,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EA,2012,37235.08,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EA,2013,34307.24,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EA,2014,31841.69,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EA,2015,32060.96,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EA,2016,26649.94,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EA,2017,28108.51,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EA,2018,29477.36,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EA,2019,31281.77,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EA,2020,31930.51,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EA,2021,42034.03,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EE,2012,208.32,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EE,2013,146.18,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EE,2014,175.88,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EE,2015,211.29,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EE,2016,111.69,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EE,2017,175.90,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EE,2018,149.05,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EE,2019,222.01,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EE,2020,244.15,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EE,2021,248.88,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EL,2012,1093.83,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EL,2013,956.06,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EL,2014,874.06,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EL,2015,865.02,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EL,2016,785.56,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EL,2017,724.96,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EL,2018,668.02,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EL,2019,657.04,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EL,2020,683.50,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EL,2021,761.75,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,ES,2012,4011.10,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,ES,2013,4421.59,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,ES,2014,3586.85,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,ES,2015,3607.41,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,ES,2016,3841.08,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,ES,2017,2966.52,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,ES,2018,4342.57,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,ES,2019,3621.20,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,ES,2020,4753.41,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,ES,2021,6050.62,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU,2012,58104.58,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU,2013,51639.75,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU,2014,48138.63,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU,2015,46127.30,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU,2016,40401.45,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU,2017,42962.68,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU,2018,44996.24,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU,2019,47573.03,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU,2020,47337.26,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU,2021,63667.54,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020,2012,54811.20,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020,2013,51639.75,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020,2014,48138.63,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020,2015,46127.30,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020,2016,40401.45,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020,2017,42962.68,
